magnetizability:V Temperature:K Current:A 
 9.0010e-02  369.930 1961.2
 9.0450e-02  369.910 1961.5
 9.0970e-02  369.910 1961.8
 9.0490e-02  369.880 1962.2
 9.0410e-02  369.830 1962.5
 9.1150e-02  369.830 1962.8
 9.0650e-02  369.800 1963.1
 9.0730e-02  369.800 1963.4
 9.1270e-02  369.750 1963.8
 9.0660e-02  369.730 1964.1
 9.1120e-02  369.730 1964.4
 9.1610e-02  369.700 1964.7
 9.0800e-02  369.700 1965.0
 9.1540e-02  369.650 1965.4
 9.1490e-02  369.620 1965.7
 9.0880e-02  369.620 1966.0
 9.1810e-02  369.570 1966.3
 9.1950e-02  369.570 1966.6
 9.1330e-02  369.540 1967.0
 9.2120e-02  369.520 1967.3
 9.2030e-02  369.520 1967.6
 9.1580e-02  369.470 1967.9
 9.2220e-02  369.470 1968.2
 9.1870e-02  369.440 1968.6
 9.2720e-02  369.390 1968.9
 9.2610e-02  369.390 1969.2
 9.1830e-02  369.360 1969.5
 9.2240e-02  369.360 1969.8
 9.2630e-02  369.340 1970.2
 9.2080e-02  369.280 1970.5
 9.2650e-02  369.280 1970.8
 9.2720e-02  369.260 1971.1
 9.2130e-02  369.260 1971.4
 9.2710e-02  369.210 1971.8
 9.2860e-02  369.180 1972.1
 9.2470e-02  369.180 1972.4
 9.2890e-02  369.130 1972.7
 9.2960e-02  369.130 1973.0
 9.2920e-02  369.100 1973.4
 9.3320e-02  369.050 1973.7
 9.3180e-02  369.050 1974.0
 9.3010e-02  369.030 1974.3
 9.3560e-02  369.030 1974.6
 9.3470e-02  368.970 1975.0
 9.3190e-02  368.950 1975.3
 9.3430e-02  368.950 1975.6
 9.3390e-02  368.900 1975.9
 9.3220e-02  368.900 1976.2
 9.3700e-02  368.870 1976.6
 9.3270e-02  368.840 1976.9
 9.3290e-02  368.840 1977.2
 9.3770e-02  368.790 1977.5
 9.3440e-02  368.790 1977.8
 9.3870e-02  368.770 1978.2
 9.3780e-02  368.710 1978.5
 9.3650e-02  368.710 1978.8
 9.3930e-02  368.690 1979.1
 9.3910e-02  368.690 1979.4
 9.3710e-02  368.640 1979.8
 9.4340e-02  368.610 1980.1
 9.3840e-02  368.610 1980.4
 9.3870e-02  368.580 1980.7
 9.4390e-02  368.580 1981.0
 9.3940e-02  368.530 1981.4
 9.4400e-02  368.510 1981.7
 9.4600e-02  368.510 1982.0
 9.4090e-02  368.450 1982.3
 9.4690e-02  368.450 1982.6
 9.4730e-02  368.430 1983.0
 9.4280e-02  368.400 1983.3
 9.4980e-02  368.400 1983.6
 9.4650e-02  368.350 1983.9
 9.4750e-02  368.350 1984.2
 9.5190e-02  368.320 1984.6
 9.4970e-02  368.270 1984.9
 9.5030e-02  368.270 1985.2
 9.5710e-02  368.250 1985.5
 9.4990e-02  368.250 1985.8
 9.5280e-02  368.220 1986.2
 9.6030e-02  368.170 1986.5
 9.5290e-02  368.170 1986.8
 9.5560e-02  368.140 1987.1
 9.5780e-02  368.140 1987.4
 9.5230e-02  368.120 1987.8
 9.5990e-02  368.060 1988.1
 9.5850e-02  368.060 1988.4
 9.5910e-02  368.040 1988.7
 9.6620e-02  368.040 1989.0
 9.5970e-02  368.010 1989.4
 9.6130e-02  367.960 1989.7
 9.6520e-02  367.960 1990.0
 9.6230e-02  367.930 1990.3
 9.6800e-02  367.930 1990.6
 9.6520e-02  367.910 1991.0
 9.6470e-02  367.860 1991.3
 9.6790e-02  367.860 1991.6
 9.6290e-02  367.830 1991.9
 9.6320e-02  367.830 1992.2
 9.6430e-02  367.800 1992.6
 9.6500e-02  367.750 1992.9
 9.7150e-02  367.750 1993.2
 9.6580e-02  367.730 1993.5
 9.6960e-02  367.730 1993.8
 9.6850e-02  367.700 1994.2
 9.7010e-02  367.650 1994.5
 9.7440e-02  367.650 1994.8
 9.6680e-02  367.620 1995.1
 9.7350e-02  367.620 1995.4
 9.7320e-02  367.600 1995.8
 9.6800e-02  367.570 1996.1
 9.7450e-02  367.570 1996.4
 9.6880e-02  367.540 1996.7
 9.7500e-02  367.540 1997.0
 9.7850e-02  367.490 1997.4
 9.6960e-02  367.470 1997.7
 9.7900e-02  367.470 1998.0
 9.7810e-02  367.440 1998.3
 9.7330e-02  367.440 1998.6
 9.8120e-02  367.410 1999.0
 9.7490e-02  367.360 1999.3
 9.7670e-02  367.360 1999.6
 9.8240e-02  367.340 1999.9
 9.7260e-02  367.340 2000.2
 9.8120e-02  367.310 2000.6
 9.7930e-02  367.280 2000.9
 9.7390e-02  367.280 2001.2
 9.8390e-02  367.260 2001.5
 9.7760e-02  367.260 2001.8
 9.7920e-02  367.230 2002.2
 9.8510e-02  367.180 2002.5
 9.7570e-02  367.180 2002.8
 9.8290e-02  367.150 2003.1
 9.8500e-02  367.150 2003.4
 9.7600e-02  367.130 2003.8
 9.8510e-02  367.100 2004.1
 9.8250e-02  367.100 2004.4
 9.7390e-02  367.080 2004.7
 9.8460e-02  367.080 2005.0
 9.7940e-02  367.050 2005.4
 9.8170e-02  367.030 2005.7
 9.8530e-02  367.030 2006.0
 9.7710e-02  367.000 2006.3
 9.8570e-02  367.000 2006.6
 9.8150e-02  366.970 2007.0
 9.8210e-02  366.950 2007.3
 9.8930e-02  366.950 2007.6
 9.8020e-02  366.920 2007.9
 9.8680e-02  366.920 2008.2
 9.8850e-02  366.900 2008.6
 9.8250e-02  366.870 2008.9
 9.8950e-02  366.870 2009.2
 9.8530e-02  366.840 2009.5
 9.9010e-02  366.840 2009.8
 9.8820e-02  366.820 2010.2
 9.8390e-02  366.790 2010.5
 9.9100e-02  366.790 2010.8
 9.8650e-02  366.790 2011.1
 9.8610e-02  366.790 2011.4
 9.9160e-02  366.770 2011.8
 9.8570e-02  366.740 2012.1
 9.9180e-02  366.740 2012.4
 9.9000e-02  366.710 2012.7
 9.8820e-02  366.710 2013.0
 9.9590e-02  366.690 2013.4
 9.8880e-02  366.660 2013.7
 9.9570e-02  366.660 2014.0
 9.9260e-02  366.660 2014.3
 9.9110e-02  366.660 2014.6
 9.9820e-02  366.640 2015.0
 9.9120e-02  366.610 2015.3
 9.9780e-02  366.610 2015.6
 9.9240e-02  366.580 2015.9
 9.9170e-02  366.580 2016.2
 9.9520e-02  366.560 2016.6
 9.9230e-02  366.530 2016.9
 9.9970e-02  366.530 2017.2
 9.9510e-02  366.530 2017.5
 9.9400e-02  366.530 2017.8
 9.9760e-02  366.510 2018.2
 9.9360e-02  366.480 2018.5
 9.9760e-02  366.480 2018.8
 9.9460e-02  366.450 2019.1
 9.9510e-02  366.450 2019.4
 9.9700e-02  366.450 2019.8
 9.9450e-02  366.430 2020.1
 9.9810e-02  366.430 2020.4
 9.9100e-02  366.400 2020.7
 9.9560e-02  366.400 2021.0
 9.9710e-02  366.380 2021.4
 9.9050e-02  366.380 2021.7
 9.9860e-02  366.380 2022.0
 9.9370e-02  366.350 2022.3
 9.9170e-02  366.350 2022.6
 9.9790e-02  366.320 2023.0
 9.9140e-02  366.320 2023.3
 9.9820e-02  366.320 2023.6
 9.9460e-02  366.300 2023.9
 9.9220e-02  366.300 2024.2
 9.9920e-02  366.300 2024.6
 9.9040e-02  366.270 2024.9
 9.9450e-02  366.270 2025.2
 9.9610e-02  366.270 2025.5
 9.8980e-02  366.270 2025.8
 9.9470e-02  366.250 2026.2
 9.8920e-02  366.250 2026.5
 9.9200e-02  366.250 2026.8
 9.9330e-02  366.220 2027.1
 9.8760e-02  366.220 2027.4
 9.9340e-02  366.190 2027.8
 9.8880e-02  366.190 2028.1
 9.8910e-02  366.190 2028.4
 9.9130e-02  366.190 2028.7
 9.8490e-02  366.190 2029.0
 9.9120e-02  366.170 2029.4
 9.8890e-02  366.170 2029.7
 9.8370e-02  366.170 2030.0
 9.8970e-02  366.140 2030.3
 9.8340e-02  366.140 2030.6
 9.8840e-02  366.140 2031.0
 9.8790e-02  366.140 2031.3
 9.8380e-02  366.140 2031.6
 9.8630e-02  366.120 2031.9
 9.7990e-02  366.120 2032.2
 9.7570e-02  366.120 2032.6
 9.8370e-02  366.120 2032.9
 9.7470e-02  366.120 2033.2
 9.7980e-02  366.090 2033.5
 9.8170e-02  366.090 2033.8
 9.7590e-02  366.090 2034.2
 9.8370e-02  366.060 2034.5
 9.7470e-02  366.060 2034.8
 9.7610e-02  366.060 2035.1
 9.8130e-02  366.060 2035.4
 9.7110e-02  366.060 2035.8
 9.7960e-02  366.060 2036.1
 9.7760e-02  366.060 2036.4
 9.7090e-02  366.060 2036.7
 9.8080e-02  366.060 2037.0
 9.7490e-02  366.060 2037.4
 9.7440e-02  366.040 2037.7
 9.8100e-02  366.040 2038.0
 9.7230e-02  366.040 2038.3
 9.7840e-02  366.040 2038.6
 9.7750e-02  366.040 2039.0
 9.7280e-02  366.040 2039.3
 9.8190e-02  366.040 2039.6
 9.7320e-02  366.010 2039.9
 9.7350e-02  366.010 2040.2
 9.7550e-02  366.010 2040.6
 9.7040e-02  366.010 2040.9
 9.7900e-02  366.010 2041.2
 9.7870e-02  366.010 2041.5
 9.7650e-02  366.010 2041.8
 9.7970e-02  366.010 2042.2
 9.7330e-02  366.010 2042.5
 9.7450e-02  366.010 2042.8
 9.7680e-02  366.010 2043.1
 9.7390e-02  366.010 2043.4
 9.7780e-02  366.010 2043.8
 9.7360e-02  366.010 2044.1
 9.7320e-02  366.010 2044.4
 9.7380e-02  366.010 2044.7
 9.7150e-02  366.010 2045.0
 9.7290e-02  366.010 2045.4
 9.6960e-02  366.010 2045.7
 9.6850e-02  366.010 2046.0
 9.7290e-02  366.010 2046.3
 9.6860e-02  366.010 2046.6
 9.6640e-02  366.010 2047.0
 9.7160e-02  366.010 2047.3
 9.6820e-02  366.010 2047.6
 9.6660e-02  366.010 2047.9
 9.6860e-02  366.010 2048.2
 9.6420e-02  366.010 2048.6
 9.6480e-02  366.010 2048.9
 9.6490e-02  366.010 2049.2
 9.6160e-02  366.010 2049.5
 9.6410e-02  366.010 2049.8
 9.6130e-02  366.010 2050.2
 9.5850e-02  366.010 2050.5
 9.6100e-02  366.010 2050.8
 9.5720e-02  366.040 2051.1
 9.5460e-02  366.040 2051.4
 9.5690e-02  366.040 2051.8
 9.5200e-02  366.040 2052.1
 9.5230e-02  366.040 2052.4
 9.5160e-02  366.040 2052.7
 9.5090e-02  366.040 2053.0
 9.5290e-02  366.040 2053.4
 9.4820e-02  366.040 2053.7
 9.4600e-02  366.040 2054.0
 9.4810e-02  366.060 2054.3
 9.4590e-02  366.060 2054.6
 9.4620e-02  366.060 2055.0
 9.4650e-02  366.060 2055.3
 9.4360e-02  366.060 2055.6
 9.4440e-02  366.090 2055.9
